DeviceType.name,DeviceType.DisplayName,Property.name,Property.unit
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,heartbeat,
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,eMeterReadingSupplyLow,kWh
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,eMeterReadingSupplyHigh,kWh
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,eMeterReadingReturnLow,kWh
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,eMeterReadingReturnHigh,kWh
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,gMeterReadingSupply,m^3
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,eMeterReadingTimestamp,
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,roomTemp,°C
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,boilerTemp1,°C
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,boilerTemp2,°C
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,gMeterReadingTimestamp,
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,listRSSI,[dBm]
DSMR-P1-gateway-TinTsTr,Slimme meter monitor met cv-ketelmodule en kamermodule,listHomePresence,
DSMR-P1-gateway,Slimme meter monitor,heartbeat,
DSMR-P1-gateway,Slimme meter monitor,eMeterReadingSupplyLow,kWh
DSMR-P1-gateway,Slimme meter monitor,eMeterReadingSupplyHigh,kWh
DSMR-P1-gateway,Slimme meter monitor,eMeterReadingReturnLow,kWh
DSMR-P1-gateway,Slimme meter monitor,eMeterReadingReturnHigh,kWh
DSMR-P1-gateway,Slimme meter monitor,gMeterReadingSupply,m^3
DSMR-P1-gateway,Slimme meter monitor,eMeterReadingTimestamp,
DSMR-P1-gateway,Slimme meter monitor,gMeterReadingTimestamp,
DSMR-P1-gateway,Slimme meter monitor,listRSSI,[dBm]
DSMR-P1-gateway,Slimme meter monitor,listHomePresence,
OpenThermGW-Nodo,OpenTherm gateway Nodo,heartbeat,
OpenThermGW-Nodo,OpenTherm gateway Nodo,roomTemp,°C
OpenThermGW-Nodo,OpenTherm gateway Nodo,boilerSupplyTemp,°C
OpenThermGW-Nodo,OpenTherm gateway Nodo,isBoilerFlameOn,
